TaxonId;Vetenskapligt namn;Svenskt namn;Svensk förekomst;Typ;Organismgrupp;Kategori;Rödlistekriterium;Skog (S);Jordbrukslandskap (J);Urban miljö (U);Fjäll (F);Våtmark (V);Sötvatten (L);Havsstrand (H);Marin miljö (M);Brackvatten (B)
4042;Entoloma strigosissimum;raggrödhätting;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);D1;Viktig;;;;;;;;
611;Entoloma tjallingiorum;tvåfärgsnopping;Bofast och reproducerande;Art;Storsvampar;Sårbar (VU);"B2ab(iii); C2a(i)";Viktig;Förekommer;;;;;;;
612;Entoloma turci;hagnopping;Bofast och reproducerande;Art;Storsvampar;Nära hotad (NT);A2c+3c+4c;;Viktig;;;;;;;
236715;Entoloma viiduense;;Bofast och reproducerande;Art;Storsvampar;Kunskapsbrist (DD);;Viktig;Förekommer;;;;;;;
100905;Entomobora crassitarsis;medelhavsvägstekel;Ej längre bofast, nu endast tillfälligt förekommande;Art;Steklar;Nationellt utdöd (RE);;;Förekommer;Förekommer;;;;;;
2251;Entosthodon fascicularis;åkerkoppmossa;Bofast och reproducerande;Art;Mossor;Nära hotad (NT);"B2ab(iii); C2a(i)";;Viktig;;;;;;;
588;Entosthodon muhlenbergii;kalkkoppmossa;Bofast och reproducerande;Art;Mossor;Nära hotad (NT);D1;;Viktig;;;;;;;
614;Entosthodon obtusus;hedkoppmossa;Bofast och reproducerande;Art;Mossor;Sårbar (VU);D1;;Viktig;;;Viktig;;;;
1802;Eopyrenula septemseptata;stor blanklav;Bofast och reproducerande;Art;Lavar;Akut hotad (CR);D;Viktig;Viktig;;;;;;;
248784;Epeolus marginatus;rödfiltbi;Bofast och reproducerande;Art;Steklar;Nära hotad (NT);B2b(iii,iv,v);;Viktig;Förekommer;;;;;;
215256;Epermenia falciformis;rödgul strättemal;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2a;;Förekommer;;;;;Viktig;;
102391;Epermenia profugella;bockrotsskärmmal;Bofast och reproducerande;Art;Fjärilar;Sårbar (VU);B2ab(iii,iv);;Viktig;Förekommer;;;;;;
102883;Ephemera glaucops;;Bofast och reproducerande;Art;Sländor;Nära hotad (NT);B2a;Förekommer;;;;Förekommer;Viktig;;;
617;Ephemerum recurvifolium;kalkdagmossa;Möjligen nationellt utdöd;Art;Mossor;Kunskapsbrist (DD);;;Viktig;;;;;;;
618;Ephemerum sessile;nervdagmossa;Möjligen nationellt utdöd;Art;Mossor;Kunskapsbrist (DD);;;Viktig;;;Viktig;;;;
102436;Epiblema junctana;krisslevecklare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2a;;Viktig;;;Förekommer;;;;
100793;Epicallima formosella;snedfläckspraktmal;Bofast och reproducerande;Art;Fjärilar;Akut hotad (CR);B2ab(ii,iii,iv)c(iv);Förekommer;;Viktig;;;;;;
100021;Epidalea calamita;strandpadda;Bofast och reproducerande;Art;Grod- och kräldjur;Sårbar (VU);B2ab(ii,iii,iv);;Viktig;Förekommer;;Viktig;Viktig;Viktig;;
102732;Epilepton clarkiae;;Bofast och reproducerande;Art;Blötdjur;Kunskapsbrist (DD);;;;;;;;;Viktig;
619;Epipactis phyllanthes;kal knipprot;Bofast och reproducerande;Art;Kärlväxter;Sårbar (VU);B2ab(iii,iv,v);Viktig;;;;;;;;
